test_location,study,part_id,cond,coding_missing,lang_group,study_dom,lang_mix_score,child_dom_lang,lang_per_en,lang_per_fr,lang_per_sp,lang_per_ot,lang_name_ot,lang_per_dom,lang_per_ndom,gender,age_days,meanLT_log,sdLT_log,meanLT,sdLT,N
Montreal,1,P56,switched,NA,monolingual,dominant,1,French,0,98,NA,3,Spanish,98,0,female,266,1.8194166712385522,0.7284578179332224,7.938571428571429,6.647712460115957,7
Montreal,2,P56,single,NA,monolingual,dominant,1,French,0,98,NA,3,Spanish,98,0,female,266,1.7279567227354955,0.6539902077392354,6.78125,4.4286516409786465,8
Montreal,2,P56,switched,NA,monolingual,dominant,1,French,0,98,NA,3,Spanish,98,0,female,266,1.8864245680658098,0.7070283341226599,8.01142857142857,5.017763208746265,7
Montreal,1,P57,single,NA,monolingual,dominant,1,French,0,100,NA,0,NA,100,0,male,272,1.905956382395399,0.5325954587390272,7.635000000000001,4.278417597997786,8
Montreal,1,P57,switched,NA,monolingual,dominant,1,French,0,100,NA,0,NA,100,0,male,272,1.9221787219657394,0.45018427628776353,7.51,3.7339752849438397,8
Montreal,2,P57,single,NA,monolingual,dominant,1,French,0,100,NA,0,NA,100,0,male,272,1.983718154452821,0.7799745000915528,9.17142857142857,6.1832769860094645,7
Montreal,2,P57,switched,NA,monolingual,dominant,1,French,0,100,NA,0,NA,100,0,male,272,1.9346255016788738,0.5457890357281016,7.763333333333334,3.8657970286432093,6
NewJersey,1,P58,single,NA,bilingual,non-dominant,19,Spanish,45,NA,55,NA,NA,55,45,female,380,2.0369919150526696,0.5506284546119999,8.682857142857143,4.550211402728868,7
NewJersey,1,P58,switched,NA,bilingual,non-dominant,19,Spanish,45,NA,55,NA,NA,55,45,female,380,1.9092425953628454,0.49335416898481543,7.501428571428571,3.909575546319696,7
Montreal,1,P59,single,NA,bilingual,non-dominant,NA,French,34,63,NA,13,Spanish 7; Italian 6,63,34,female,242,2.3916336955458393,0.5631732909679891,12.425,6.149887339270069,8
Montreal,1,P59,switched,NA,bilingual,non-dominant,NA,French,34,63,NA,13,Spanish 7; Italian 6,63,34,female,242,2.632742251909406,0.41314559948520474,14.8425,4.939987709643474,8
Montreal,2,P59,single,NA,bilingual,non-dominant,NA,French,34,63,NA,13,Spanish 7; Italian 6,63,34,female,242,2.475793205545506,0.4273035046939927,12.785714285714286,4.895310194948008,7
Montreal,2,P59,switched,NA,bilingual,non-dominant,NA,French,34,63,NA,13,Spanish 7; Italian 6,63,34,female,242,2.404005158373021,0.8407919384184814,13.472,6.585421019190801,5
